Food Name,region,diet_type,ingredients,calories,carbs,fat,protein
Rava Kesari,Puducherry,Veg,Gluten,380,50,12,6
Egg Curry,Puducherry,Non-Veg,Egg,270,12,18,18
Beetroot Poriyal,Puducherry,Vegan,None,130,20,5,2
Chow Chow Kootu,Puducherry,Vegan,None,140,18,8,5
Paruppu Usili,Puducherry,Veg,None,200,25,12,8
Pongal,Puducherry,Veg,None,320,40,10,8
Banana Chips,Puducherry,Vegan,None,250,30,15,3
Chicken Fry,Puducherry,Non-Veg,None,420,10,28,35
Puli Kuzhambu,Puducherry,Vegan,None,180,25,8,5
Curd Rice,Puducherry,Veg,Dairy,220,35,6,8
Thattai,Puducherry,Vegan,None,200,22,10,5
Avial,Puducherry,Veg,None,180,18,8,4
Shrimp Fry,Puducherry,Non-Veg,Shellfish,310,12,20,24
Rasam,Puducherry,Vegan,None,100,12,4,2
Kara Chutney,Puducherry,Vegan,None,80,5,4,2
Egg Bhurji,Puducherry,Non-Veg,Egg,210,6,14,16
Kuzhi Paniyaram,Puducherry,Veg,Gluten,180,22,8,6
Ellu Podi,Puducherry,Vegan,Sesame,150,8,12,4
Cabbage Poriyal,Puducherry,Vegan,None,120,10,6,3
Masala Vada,Puducherry,Vegan,None,250,22,12,6
Thengai Chutney,Puducherry,Vegan,Coconut,120,8,8,2
Vendakkai Fry,Puducherry,Vegan,None,160,14,10,4
Sweet Pongal,Puducherry,Veg,Dairy,320,55,10,6
Egg Appam,Puducherry,Non-Veg,Egg,280,35,12,12
Milagu Rasam,Puducherry,Vegan,None,90,10,3,2
Mango Pachadi,Puducherry,Vegan,None,150,18,6,3
Kothamalli Thokku,Puducherry,Vegan,None,120,6,8,2
Mutton Chukka,Puducherry,Non-Veg,None,420,5,32,38
Ulli Theeyal,Puducherry,Vegan,None,190,25,10,4
Kadala Curry,Puducherry,Vegan,None,230,30,8,10
Chicken Kulambu,Puducherry,Non-Veg,None,400,12,26,30
Paniyaram,Puducherry,Veg,None,180,20,8,5
Murukku,Puducherry,Vegan,None,250,30,12,6
Kappa,Puducherry,Vegan,None,140,28,4,1
Pakhala Bhata,Odisha,Vegan,None,120,22,1,3
Dalma,Odisha,Veg,None,200,30,5,10
Chuda Ghasa,Odisha,Vegan,None,150,30,2,5
Macha Tarkari,Odisha,Non-Veg,Fish,250,10,15,25
Kanika,Odisha,Veg,None,230,45,6,8
Raja Chura,Odisha,Vegan,None,180,35,3,6
Khatta,Odisha,Veg,None,120,20,1,2
Dahi Bara Aloo Dum,Odisha,Veg,Dairy,350,50,10,15
Aloo Posto,Odisha,Veg,None,220,30,8,4
Ambila,Odisha,Veg,None,190,25,4,7
Santula,Odisha,Veg,None,150,20,2,4
Khichdi,Odisha,Veg,None,200,35,3,8
Macha Besara,Odisha,Non-Veg,Fish,270,15,20,28
Rasam,Odisha,Vegan,None,100,10,1,3
Bhendi Fry,Odisha,Veg,None,180,20,10,4
Chhenna Poda,Odisha,Veg,Dairy,300,40,15,20
Biryani,Odisha,Non-Veg,None,400,55,15,25
Pithas,Odisha,Veg,None,250,50,8,12
Puri Sabji,Odisha,Veg,None,320,45,20,10
Chhena Jhili,Odisha,Veg,Dairy,350,40,18,22
Ghee Rice,Odisha,Veg,Dairy,330,50,15,7
Murgi Kasa,Odisha,Non-Veg,Chicken,300,20,25,28
Bhaja Macha,Odisha,Non-Veg,Fish,250,15,20,25
Chingudi Malai Curry,Odisha,Non-Veg,Shrimp,350,10,25,30
Saja Dali,Odisha,Veg,None,180,25,5,7
Pakhala,Odisha,Vegan,None,130,28,2,4
Bamboo Shoot Curry,Odisha,Veg,None,190,20,6,8
Moong Dal Chilla,Odisha,Veg,None,250,35,7,12
Chenna Kasa,Odisha,Veg,Dairy,220,30,8,9
Mutton Kasa,Odisha,Non-Veg,Mutton,320,15,30,35
Macha Rai,Odisha,Non-Veg,Fish,280,20,22,25
Dahi Pakhala,Odisha,Veg,Dairy,180,25,4,6
Chakuli Pitha,Odisha,Veg,None,200,30,5,7
Biri Biri,Odisha,Veg,None,190,20,6,8
Chana Tarkari,Odisha,Veg,None,220,30,8,10
Macha Khatta,Odisha,Non-Veg,Fish,250,15,20,25
Kheema,Odisha,Non-Veg,Mutton,320,20,30,35
Aloo Chana Curry,Odisha,Veg,None,200,35,5,8
Dahi Bara,Odisha,Veg,Dairy,250,30,7,12
Fish Fry,Odisha,Non-Veg,Fish,280,10,25,30
Guguni,Odisha,Veg,None,180,25,5,7
Pakhal Pitha,Odisha,Veg,None,200,30,6,8
Mutton Kebab,Odisha,Non-Veg,Mutton,350,15,30,35
Khatta Meetha,Odisha,Veg,None,160,25,5,6
Prawn Curry,Odisha,Non-Veg,Prawn,270,15,20,25
Chenna Curry,Odisha,Veg,Dairy,210,30,7,9
Macha Rasa,Odisha,Non-Veg,Fish,280,20,25,30
Aloo Gobi,Odisha,Veg,None,220,30,6,8
Chenna Poda,Odisha,Veg,Dairy,300,40,15,20
Mutton Kasa,Odisha,Non-Veg,Mutton,320,15,30,35
Pitha,Odisha,Veg,None,200,30,6,8
Aloo Methi,Odisha,Veg,None,190,25,4,7
Kakharu Pitha,Odisha,Veg,None,180,30,5,6
Fish Curry,Odisha,Non-Veg,Fish,280,20,25,30
Chicken Curry,Odisha,Non-Veg,Chicken,320,15,30,35
Chhenna Kheema,Odisha,Veg,Dairy,230,30,8,10
Chura Pakhala,Odisha,Vegan,None,150,28,2,5
Macher Jhal,Odisha,Non-Veg,Fish,250,15,20,25
Chhena Besara,Odisha,Veg,Dairy,220,30,7,8
Dalma Pakhala,Odisha,Veg,None,210,35,5,8
Chenna Poda,Odisha,Veg,Dairy,310,40,16,22
Smoked Pork with Bamboo Shoot,Nagaland,Non-Veg,Pork,400,10,25,30
Naga King Chilli Pickle,Nagaland,Non-Veg,Chili,150,10,5,2
Pork Ribs with Bamboo Shoot,Nagaland,Non-Veg,Pork,350,15,20,25
Rice Cake,Nagaland,Veg,None,250,50,5,3
Chicken with Naga Chili,Nagaland,Non-Veg,Chicken,400,20,25,35
Fermented Soybean Paste,Nagaland,Vegan,Soybean,100,15,2,5
Naga Fish Curry,Nagaland,Non-Veg,Fish,350,12,20,30
Pork with Bamboo Shoot Soup,Nagaland,Non-Veg,Pork,250,10,15,20
Vegetable Stew,Nagaland,Veg,None,200,30,5,5
Naga Style Fried Fish,Nagaland,Non-Veg,Fish,300,10,18,25
Naga Bean Curry,Nagaland,Vegan,Beans,250,30,4,10
Naga Pork Belly,Nagaland,Non-Veg,Pork,400,15,30,25
Khawza,Nagaland,Veg,None,300,50,10,15
Smoked Pork Ribs,Nagaland,Non-Veg,Pork,350,12,25,20
Naga Spicy Chicken,Nagaland,Non-Veg,Chicken,400,15,20,30
Rice with Naga Pork,Nagaland,Non-Veg,Pork,450,60,20,25
Naga Bamboo Shoot Salad,Nagaland,Veg,None,150,20,5,3
Naga Green Chili Paste,Nagaland,Vegan,Chili,100,10,4,2
Pork with Naga Herbs,Nagaland,Non-Veg,Pork,400,15,30,35
Vegetable Stir Fry,Nagaland,Veg,None,200,25,7,5
Naga Chili Chicken,Nagaland,Non-Veg,Chicken,350,12,22,30
Bamboo Shoot and Pork Curry,Nagaland,Non-Veg,Pork,300,15,20,25
Sticky Rice with Pork,Nagaland,Non-Veg,Pork,400,60,15,20
Pork and Bamboo Shoot Salad,Nagaland,Non-Veg,Pork,250,12,10,15
Naga Style Fish Fry,Nagaland,Non-Veg,Fish,300,15,20,30
Chicken Soup with Herbs,Nagaland,Non-Veg,Chicken,200,5,15,25
Pork with Green Beans,Nagaland,Non-Veg,Pork,350,15,25,30
Spicy Naga Chicken Wings,Nagaland,Non-Veg,Chicken,350,10,20,25
Vegetable Curry with Rice,Nagaland,Veg,None,300,55,10,8
Pork with Garlic and Ginger,Nagaland,Non-Veg,Pork,400,10,30,20
Naga Meat Stew,Nagaland,Non-Veg,Beef,350,12,25,30
Naga Style Boiled Vegetables,Nagaland,Veg,None,150,20,2,5
Naga Dry Fish,Nagaland,Non-Veg,Fish,200,5,10,20
Bamboo Shoot and Fish Curry,Nagaland,Non-Veg,Fish,300,15,20,25
Naga Chicken Roast,Nagaland,Non-Veg,Chicken,400,12,25,30
Pork with Red Chilli,Nagaland,Non-Veg,Pork,350,20,20,25
Naga Style Spicy Rice,Nagaland,Veg,None,250,60,5,10
Vegetable and Pork Stew,Nagaland,Non-Veg,Pork,300,20,10,20
Naga Pork with Herbs,Nagaland,Non-Veg,Pork,350,10,30,25
Pork with Naga Spices,Nagaland,Non-Veg,Pork,400,15,25,35
Naga Style Chicken Stew,Nagaland,Non-Veg,Chicken,300,10,20,25
Bamboo Shoot Stir Fry,Nagaland,Veg,None,200,25,5,5
Pork and Beans Curry,Nagaland,Non-Veg,Pork,350,20,15,25
Spicy Naga Fried Rice,Nagaland,Veg,None,300,65,7,12
Chicken and Bamboo Shoot Soup,Nagaland,Non-Veg,Chicken,250,12,15,20
Naga Style Pork Ribs,Nagaland,Non-Veg,Pork,400,15,30,20
Vegetable and Bean Soup,Nagaland,Vegan,Beans,200,30,5,10
Spicy Pork Stir Fry,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Fish and Bamboo Shoot Stew,Nagaland,Non-Veg,Fish,300,15,20,25
Rice with Naga Beans,Nagaland,Vegan,Beans,300,55,10,15
Pork with Naga Vegetables,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Spicy Fish,Nagaland,Non-Veg,Fish,300,10,15,25
Pork with Soybean,Nagaland,Non-Veg,Pork,350,15,20,25
Naga Chicken with Herbs,Nagaland,Non-Veg,Chicken,400,12,25,30
Vegetable and Pork Fried Rice,Nagaland,Non-Veg,Pork,400,60,15,20
Naga Pork and Bean Curry,Nagaland,Non-Veg,Pork,350,20,20,30
Naga Style Green Chili Soup,Nagaland,Vegan,Chili,150,20,5,3
Smoked Fish with Bamboo Shoot,Nagaland,Non-Veg,Fish,300,12,15,20
Naga Pork Belly Stew,Nagaland,Non-Veg,Pork,400,15,30,25
Vegetable and Rice Stir Fry,Nagaland,Veg,None,250,55,7,10
Pork with Naga Sauce,Nagaland,Non-Veg,Pork,350,12,25,30
Naga Chicken and Bamboo Shoot,Nagaland,Non-Veg,Chicken,350,20,15,30
Rice with Naga Bean Stew,Nagaland,Vegan,Beans,300,60,5,10
Naga Pork with Ginger,Nagaland,Non-Veg,Pork,400,10,30,25
Naga Style Fish Stew,Nagaland,Non-Veg,Fish,300,10,20,25
Vegetable and Pork Rice Bowl,Nagaland,Non-Veg,Pork,350,55,10,20
Naga Spicy Pork Curry,Nagaland,Non-Veg,Pork,400,20,25,30
Chicken and Bean Curry,Nagaland,Non-Veg,Chicken,350,20,15,25
Naga Style Vegetable Soup,Nagaland,Vegan,None,150,20,3,5
Pork with Spicy Naga Herbs,Nagaland,Non-Veg,Pork,400,10,30,20
Naga Fish and Rice,Nagaland,Non-Veg,Fish,350,55,15,20
Vegetable and Pork Stir Fry,Nagaland,Non-Veg,Pork,300,20,10,15
Naga Style Spicy Bean Soup,Nagaland,Vegan,Beans,200,30,5,10
Smoked Pork with Spices,Nagaland,Non-Veg,Pork,400,15,30,25
Naga Green Chili Chicken,Nagaland,Non-Veg,Chicken,350,15,20,25
Bamboo Shoot and Pork Rice,Nagaland,Non-Veg,Pork,400,60,15,20
Naga Style Pork Stew,Nagaland,Non-Veg,Pork,350,20,25,30
Vegetable and Chicken Stir Fry,Nagaland,Non-Veg,Chicken,300,20,15,25
Naga Bean and Rice Bowl,Nagaland,Vegan,Beans,300,55,5,12
Pork with Naga Pickles,Nagaland,Non-Veg,Pork,400,15,25,30
Naga Style Spicy Fish Curry,Nagaland,Non-Veg,Fish,300,15,20,25
Chicken with Naga Beans,Nagaland,Non-Veg,Chicken,350,20,15,25
Pork and Vegetable Curry,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Rice and Fish,Nagaland,Non-Veg,Fish,350,55,15,20
Vegetable and Pork Soup,Nagaland,Non-Veg,Pork,250,20,5,10
Naga Style Spicy Chicken Soup,Nagaland,Non-Veg,Chicken,250,12,15,25
Naga Fish and Vegetable Stir Fry,Nagaland,Non-Veg,Fish,300,15,20,25
Chicken with Bamboo Shoot Curry,Nagaland,Non-Veg,Chicken,300,15,20,30
Spicy Pork with Beans,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Vegetable Rice,Nagaland,Veg,None,300,55,7,10
Pork with Naga Sauce and Beans,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Fish with Garlic,Nagaland,Non-Veg,Fish,300,10,15,20
Vegetable and Bean Stir Fry,Nagaland,Vegan,Beans,200,30,5,10
Pork with Naga Chilies and Rice,Nagaland,Non-Veg,Pork,400,60,20,25
Naga Style Chicken Curry,Nagaland,Non-Veg,Chicken,350,15,20,25
Spicy Naga Bean Soup,Nagaland,Vegan,Beans,200,30,5,10
Pork with Naga Chili Pickle,Nagaland,Non-Veg,Pork,350,15,20,30
Naga Style Fish with Vegetables,Nagaland,Non-Veg,Fish,300,20,15,25
Chicken with Spicy Naga Herbs,Nagaland,Non-Veg,Chicken,350,15,20,30
Pork and Bamboo Shoot Stir Fry,Nagaland,Non-Veg,Pork,350,15,20,25
Vegetable Rice Bowl,Nagaland,Veg,None,250,55,7,12
Naga Style Spicy Pork Curry,Nagaland,Non-Veg,Pork,400,20,25,30
Fish and Bean Stew,Nagaland,Non-Veg,Fish,300,15,20,25
Naga Pork with Bamboo Shoot Soup,Nagaland,Non-Veg,Pork,300,15,20,25
Vegetable and Pork Stir Fry with Rice,Nagaland,Non-Veg,Pork,350,60,15,20
Spicy Naga Pork Soup,Nagaland,Non-Veg,Pork,300,15,25,20
Chicken with Naga Beans and Rice,Nagaland,Non-Veg,Chicken,400,60,20,25
Naga Style Fish and Vegetable Curry,Nagaland,Non-Veg,Fish,300,15,20,25
Pork with Bamboo Shoot and Chili,Nagaland,Non-Veg,Pork,400,20,25,30
Vegetable Bean Stew,Nagaland,Vegan,Beans,200,30,5,10
Naga Spicy Fish Soup,Nagaland,Non-Veg,Fish,250,10,15,25
Pork and Vegetable Rice Stir Fry,Nagaland,Non-Veg,Pork,350,60,20,25
Naga Style Chicken and Rice,Nagaland,Non-Veg,Chicken,350,60,20,25
Vegetable and Naga Beans Stew,Nagaland,Vegan,Beans,200,30,5,10
Spicy Pork with Bamboo Shoots,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Fish and Rice Bowl,Nagaland,Non-Veg,Fish,300,55,15,20
Chicken with Naga Herbs and Rice,Nagaland,Non-Veg,Chicken,400,60,20,25
Naga Pork and Vegetable Soup,Nagaland,Non-Veg,Pork,300,20,25,30
Spicy Naga Bean Curry,Nagaland,Vegan,Beans,200,30,5,10
Pork with Naga Spices and Rice,Nagaland,Non-Veg,Pork,400,60,20,25
Naga Style Fish and Bean Soup,Nagaland,Non-Veg,Fish,250,15,20,25
Vegetable Stir Fry with Rice,Nagaland,Veg,None,250,55,7,12
Pork with Naga Beans and Herbs,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Spicy Chicken Stew,Nagaland,Non-Veg,Chicken,350,15,20,25
Spicy Pork and Vegetable Soup,Nagaland,Non-Veg,Pork,300,20,25,30
Naga Style Fish with Bamboo Shoots,Nagaland,Non-Veg,Fish,300,15,20,25
Chicken and Bean Stew,Nagaland,Non-Veg,Chicken,300,20,15,25
Pork with Naga Rice,Nagaland,Non-Veg,Pork,400,60,20,25
Vegetable and Pork Soup with Rice,Nagaland,Non-Veg,Pork,300,55,15,20
Naga Style Fish with Herbs,Nagaland,Non-Veg,Fish,300,15,20,25
Spicy Naga Pork Stew,Nagaland,Non-Veg,Pork,350,20,25,30
Chicken and Vegetable Stir Fry,Nagaland,Non-Veg,Chicken,300,20,15,25
Pork with Naga Chili Sauce,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Fish and Rice Stir Fry,Nagaland,Non-Veg,Fish,300,60,15,20
Vegetable Bean Soup with Rice,Nagaland,Vegan,Beans,200,30,5,10
Pork with Bamboo Shoot Curry,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Chicken with Beans,Nagaland,Non-Veg,Chicken,350,20,15,25
Spicy Pork and Bean Stew,Nagaland,Non-Veg,Pork,300,20,25,30
Naga Style Fish Curry with Rice,Nagaland,Non-Veg,Fish,350,60,15,20
Chicken with Spicy Naga Vegetables,Nagaland,Non-Veg,Chicken,350,20,25,30
Pork and Naga Bean Stew,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Fish and Vegetable Stew,Nagaland,Non-Veg,Fish,300,15,20,25
Vegetable Stir Fry with Naga Herbs,Nagaland,Veg,None,250,55,7,10
Naga Style Chicken and Bean Curry,Nagaland,Non-Veg,Chicken,350,20,15,25
Pork with Naga Rice and Beans,Nagaland,Non-Veg,Pork,400,60,20,25
Naga Style Fish and Vegetable Curry with Rice,Nagaland,Non-Veg,Fish,350,60,15,20
Chicken with Bamboo Shoot Stir Fry,Nagaland,Non-Veg,Chicken,300,20,15,25
Pork with Naga Beans and Vegetables,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Fish and Vegetable Stir Fry,Nagaland,Non-Veg,Fish,300,15,20,25
Vegetable Rice Stir Fry with Naga Spices,Nagaland,Veg,None,300,55,7,10
Pork with Naga Chili Stew,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Fish and Pork Stew,Nagaland,Non-Veg,Fish,350,20,25,30
Spicy Chicken with Naga Beans,Nagaland,Non-Veg,Chicken,350,20,25,30
Pork with Bamboo Shoots and Beans,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Fish Curry with Vegetables,Nagaland,Non-Veg,Fish,300,15,20,25
Vegetable and Naga Bean Curry,Nagaland,Vegan,Beans,200,30,5,10
Pork with Naga Chili and Rice,Nagaland,Non-Veg,Pork,350,60,20,25
Naga Style Fish and Vegetable Curry with Beans,Nagaland,Non-Veg,Fish,350,60,15,20
Chicken with Spicy Naga Beans,Nagaland,Non-Veg,Chicken,350,20,25,30
Pork and Naga Bean Curry,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Spicy Fish Stew,Nagaland,Non-Veg,Fish,350,20,25,30
Vegetable and Naga Bean Soup,Nagaland,Vegan,Beans,200,30,5,10
Pork with Naga Beans and Rice,Nagaland,Non-Veg,Pork,400,60,20,25
Naga Style Fish and Bean Stir Fry,Nagaland,Non-Veg,Fish,350,60,15,20
Spicy Chicken and Naga Beans,Nagaland,Non-Veg,Chicken,350,20,25,30
Pork with Naga Bean Soup,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Fish and Rice Curry,Nagaland,Non-Veg,Fish,350,60,15,20
Vegetable Stir Fry with Naga Beans,Nagaland,Vegan,Beans,200,30,5,10
Pork with Naga Bean Stir Fry,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Fish and Vegetable Soup,Nagaland,Non-Veg,Fish,300,15,20,25
Chicken with Spicy Naga Beans and Rice,Nagaland,Non-Veg,Chicken,350,20,25,30
Naga Style Fish Curry with Beans,Nagaland,Non-Veg,Fish,350,60,15,20
Vegetable Rice Stir Fry with Naga Herbs,Nagaland,Veg,None,300,55,7,10
Pork with Naga Spices and Beans,Nagaland,Non-Veg,Pork,350,20,25,30
Naga Style Fish and Bean Curry,Nagaland,Non-Veg,Fish,350,60,15,20
Chicken with Naga Spices and Rice,Nagaland,Non-Veg,Chicken,400,60,20,25
Pork with Naga Beans and Rice,Nagaland,Non-Veg,Pork,350,60,20,25
Naga Style Fish and Vegetable Curry,Nagaland,Non-Veg,Fish,350,60,15,20
Bamboo Shoot Curry,Mizoram,Veg,None,200,25,10,5
Mizo Chicken Stew,Mizoram,Non-Veg,None,300,20,15,25
Mizo Fish Curry,Mizoram,Non-Veg,None,250,15,20,20
Vawksa Rep,Mizoram,Non-Veg,None,350,30,25,35
Mizo Veg Thali,Mizoram,Veg,None,500,60,20,15
Farcha Chicken,Mizoram,Non-Veg,None,400,35,25,30
Mizo Pork Stew,Mizoram,Non-Veg,None,350,25,30,20
Mizo Pumpkin Curry,Mizoram,Veg,None,180,25,8,3
Khaw Hmoo,Mizoram,Non-Veg,None,320,28,22,30
Mizo Green Bean Curry,Mizoram,Veg,None,200,30,5,4
Mizo Chicken Fried Rice,Mizoram,Non-Veg,None,350,45,15,20
Mizo Fish Soup,Mizoram,Non-Veg,None,150,10,5,15
Vawksa Bu,Mizoram,Non-Veg,None,400,35,30,25
Mizo Pork with Bamboo Shoot,Mizoram,Non-Veg,None,350,30,25,20
Mizo Green Leaf Salad,Mizoram,Vegan,None,120,10,2,3
Mizo Pumpkin Soup,Mizoram,Veg,None,150,20,3,5
Mizo Pork Curry,Mizoram,Non-Veg,None,350,28,30,25
Mizo Chicken Gravy,Mizoram,Non-Veg,None,300,20,15,25
Mizo Fried Fish,Mizoram,Non-Veg,None,250,15,20,25
Mizo Vegetable Soup,Mizoram,Veg,None,100,15,2,4
Mizo Chicken Salad,Mizoram,Non-Veg,None,200,10,8,20
Mizo Rice Cake,Mizoram,Veg,None,220,45,1,10
Mizo Bamboo Shoot Salad,Mizoram,Veg,None,150,15,2,4
Mizo Veg Stew,Mizoram,Veg,None,250,30,5,6
Mizo Chicken Noodles,Mizoram,Non-Veg,None,350,50,20,20
Mizo Pork Noodles,Mizoram,Non-Veg,None,360,45,25,25
Mizo Vegetable Fried Rice,Mizoram,Veg,None,300,50,10,8
Mizo Pork with Rice,Mizoram,Non-Veg,None,400,60,25,20
Mizo Chicken Skewers,Mizoram,Non-Veg,None,250,20,10,25
Mizo Egg Curry,Mizoram,Non-Veg,None,280,25,15,20
Mizo Vegetable Pakora,Mizoram,Veg,None,350,40,15,10
Mizo Grilled Fish,Mizoram,Non-Veg,None,250,15,20,25
Mizo Chicken Soup,Mizoram,Non-Veg,None,200,10,8,20
Mizo Veg Pakora,Mizoram,Veg,None,300,30,20,10
Mizo Bamboo Shoot and Pork Stew,Mizoram,Non-Veg,None,400,35,25,30
Mizo Fried Rice with Chicken,Mizoram,Non-Veg,None,350,50,15,20
Mizo Green Bean Salad,Mizoram,Vegan,None,180,20,3,5
Mizo Pork and Bamboo Shoot Curry,Mizoram,Non-Veg,None,350,30,25,25
Mizo Chicken Curry with Rice,Mizoram,Non-Veg,None,400,55,20,30
Mizo Veg and Pork Soup,Mizoram,Non-Veg,None,250,25,15,20
Mizo Vegetable and Rice,Mizoram,Veg,None,350,60,10,15
Mizo Chicken Thukpa,Mizoram,Non-Veg,None,300,45,15,25
Mizo Rice with Pork,Mizoram,Non-Veg,None,400,60,25,20
Mizo Pork and Vegetable Stir Fry,Mizoram,Non-Veg,None,350,30,25,20
Mizo Chicken with Bamboo Shoots,Mizoram,Non-Veg,None,320,28,20,30
Mizo Green Leaf Curry,Mizoram,Vegan,None,150,15,4,3
Mizo Pork and Vegetable Curry,Mizoram,Non-Veg,None,350,35,30,20
Mizo Chicken and Rice,Mizoram,Non-Veg,None,350,50,20,25
Mizo Pumpkin and Rice,Mizoram,Veg,None,300,55,5,10
Mizo Pork and Bean Stew,Mizoram,Non-Veg,None,350,30,25,20
Mizo Fried Fish with Rice,Mizoram,Non-Veg,None,350,50,20,25
Mizo Chicken with Vegetables,Mizoram,Non-Veg,None,300,25,15,20
Mizo Vegetable Stir Fry,Mizoram,Veg,None,200,30,8,5
Mizo Chicken with Rice and Veg,Mizoram,Non-Veg,None,350,55,20,25
Mizo Pork and Pumpkin Curry,Mizoram,Non-Veg,None,350,28,25,20
Mizo Fried Rice with Veg,Mizoram,Veg,None,300,50,10,8
Mizo Chicken and Pumpkin Curry,Mizoram,Non-Veg,None,320,28,20,25
Mizo Pork and Potato Curry,Mizoram,Non-Veg,None,350,35,25,20
Mizo Vegetable and Chicken Salad,Mizoram,Non-Veg,None,250,15,10,20
Mizo Fish and Rice,Mizoram,Non-Veg,None,350,50,20,25
Mizo Pork and Green Bean Curry,Mizoram,Non-Veg,None,350,30,25,20
Mizo Chicken and Vegetable Soup,Mizoram,Non-Veg,None,250,20,10,25
Mizo Fried Pork with Rice,Mizoram,Non-Veg,None,400,55,30,25
Mizo Veg and Pork Stir Fry,Mizoram,Non-Veg,None,350,30,25,20
Mizo Chicken with Pumpkin,Mizoram,Non-Veg,None,300,28,15,20
Mizo Vegetable and Chicken Curry,Mizoram,Non-Veg,None,350,30,20,25
Mizo Pork and Vegetable Rice,Mizoram,Non-Veg,None,400,60,25,20
Mizo Fried Fish and Veg,Mizoram,Non-Veg,None,300,20,15,25
Mizo Green Bean and Pork Stew,Mizoram,Non-Veg,None,350,25,30,20
Mizo Chicken with Beans,Mizoram,Non-Veg,None,320,28,20,25
Mizo Veg and Pork Noodles,Mizoram,Non-Veg,None,350,45,20,25
Mizo Chicken and Green Bean Curry,Mizoram,Non-Veg,None,300,25,15,20
Mizo Pork and Veg Soup,Mizoram,Non-Veg,None,250,20,15,20
Mizo Chicken and Pumpkin Stew,Mizoram,Non-Veg,None,320,28,20,25
Mizo Fried Rice with Chicken and Veg,Mizoram,Non-Veg,None,350,55,20,25
Mizo Pork with Rice and Veg,Mizoram,Non-Veg,None,400,60,25,20
Mizo Chicken and Bamboo Shoot Soup,Mizoram,Non-Veg,None,250,20,10,25
Mizo Green Leaf and Rice Curry,Mizoram,Veg,None,300,55,10,15
Mizo Pork and Green Bean Soup,Mizoram,Non-Veg,None,250,20,15,20
Mizo Chicken Fried Rice with Veg,Mizoram,Non-Veg,None,350,55,20,25
Mizo Pork and Vegetable Fried Rice,Mizoram,Non-Veg,None,350,50,25,20
Mizo Veg Curry with Rice,Mizoram,Veg,None,350,60,10,15
Mizo Chicken with Bean Stew,Mizoram,Non-Veg,None,300,25,15,20
Mizo Pork and Green Bean Stir Fry,Mizoram,Non-Veg,None,350,30,25,20
Mizo Chicken and Rice Soup,Mizoram,Non-Veg,None,250,20,15,20
Mizo Veg Salad,Mizoram,Vegan,None,120,10,2,4
Mizo Pork and Rice Soup,Mizoram,Non-Veg,None,300,25,20,15
Mizo Chicken with Pumpkin and Rice,Mizoram,Non-Veg,None,350,55,20,25
Mizo Fried Fish with Veg and Rice,Mizoram,Non-Veg,None,350,50,25,25
Mizo Vegetable Soup with Rice,Mizoram,Veg,None,300,50,10,15
Mizo Pork and Vegetable Stew with Rice,Mizoram,Non-Veg,None,400,60,25,20
Mizo Chicken and Bean Curry,Mizoram,Non-Veg,None,300,25,15,20
Mizo Fried Rice with Pork and Veg,Mizoram,Non-Veg,None,350,50,25,20
Mizo Veg and Chicken Soup,Mizoram,Non-Veg,None,250,20,15,20
Mizo Pork and Pumpkin Stew,Mizoram,Non-Veg,None,350,30,25,20
Mizo Chicken and Green Bean Stir Fry,Mizoram,Non-Veg,None,320,28,20,25
Mizo Veg and Rice Salad,Mizoram,Veg,None,180,40,5,10
Mizo Pork with Beans,Mizoram,Non-Veg,None,350,30,25,20
Mizo Chicken and Pumpkin Stir Fry,Mizoram,Non-Veg,None,320,30,20,25
Mizo Fried Rice with Green Beans,Mizoram,Veg,None,300,50,10,8
Mizo Chicken with Veg Soup,Mizoram,Non-Veg,None,250,20,10,20
Mizo Pork and Vegetable Salad,Mizoram,Non-Veg,None,250,15,20,15
Mizo Vegetable and Chicken Stew,Mizoram,Non-Veg,None,300,30,15,20
Mizo Chicken and Green Beans,Mizoram,Non-Veg,None,320,28,20,25
Mizo Pork Fried Rice,Mizoram,Non-Veg,None,350,50,25,20
Mizo Veg and Chicken Noodles,Mizoram,Non-Veg,None,350,45,15,20
Mizo Pork and Rice Salad,Mizoram,Non-Veg,None,300,40,25,15
Mizo Chicken with Vegetable Stew,Mizoram,Non-Veg,None,350,30,20,25
Mizo Pork and Pumpkin Salad,Mizoram,Non-Veg,None,250,20,25,15
